Iter, Cost
349, 411098.0
350, 411075.0
351, 410733.0
352, 410677.0
353, 410792.0
354, 411146.0
355, 411449.0
356, 411026.0
357, 410807.0
358, 410730.0
359, 410897.0
360, 410744.0
361, 410726.0
362, 411379.0
363, 411270.0
364, 410522.0
365, 410815.0
366, 411051.0
367, 411182.0
368, 411039.0
369, 410834.0
370, 411214.0
371, 410910.0
372, 411458.0
373, 411528.0
374, 411559.0
375, 411195.0
376, 410797.0
377, 411295.0
378, 411382.0
379, 411303.0
380, 411220.0
381, 411099.0
382, 411191.0
383, 411206.0
384, 411261.0
385, 410865.0
386, 410833.0
387, 411162.0
388, 411498.0
389, 411263.0
390, 410879.0
391, 410807.0
392, 411102.0
393, 411054.0
394, 410822.0
395, 410765.0
396, 410963.0
397, 410883.0
398, 410968.0
399, 410659.0
400, 410993.0
401, 411013.0
402, 410999.0
403, 410634.0
404, 411192.0
405, 411097.0
406, 410679.0
407, 410970.0
408, 410656.0
409, 410939.0
410, 410788.0
411, 410895.0
412, 410560.0
413, 411210.0
414, 410435.0
415, 410772.0
416, 410513.0
417, 410443.0
418, 410584.0
419, 410490.0
420, 411109.0
421, 410748.0
422, 411028.0
423, 411015.0
424, 410832.0
425, 411255.0
426, 410981.0
427, 411300.0
428, 411590.0
429, 411067.0
430, 411070.0
431, 410882.0
432, 410823.0
433, 410970.0
434, 410763.0
435, 410759.0
436, 410753.0
437, 411016.0
438, 410936.0
439, 410769.0
440, 410744.0
441, 410706.0
442, 410661.0
443, 410790.0
444, 411090.0
445, 410685.0
446, 410988.0
447, 410597.0
448, 410878.0
449, 410894.0
450, 410621.0
451, 410721.0
452, 410950.0
453, 411058.0
454, 410826.0
455, 411154.0
456, 410753.0
457, 410728.0
458, 410667.0
459, 410669.0
460, 410691.0
461, 410764.0
462, 410565.0
463, 410811.0
464, 410716.0
465, 410621.0
466, 410741.0
467, 410761.0
468, 410741.0
469, 410730.0
470, 410648.0
471, 410648.0
472, 410690.0
473, 410719.0
474, 410452.0
475, 410799.0
476, 410535.0
477, 410639.0
478, 410627.0
479, 410608.0
480, 410716.0
481, 410731.0
482, 410676.0
483, 410672.0
484, 410592.0
485, 410544.0
486, 410466.0
487, 410508.0
488, 410532.0
489, 410492.0
490, 410490.0
491, 410832.0
492, 410626.0
493, 410561.0
494, 410564.0
495, 410509.0
496, 410449.0
497, 410520.0
498, 410477.0
499, 410504.0
