Iter, Cost
0, 682168.0
1, 624873.0
2, 601745.0
3, 566896.0
4, 555768.0
5, 532451.0
6, 494849.0
7, 490520.0
8, 480329.0
9, 468859.0
10, 452628.0
11, 453173.0
12, 455565.0
13, 445869.0
14, 439586.0
15, 432790.0
16, 429933.0
17, 429307.0
18, 429721.0
19, 427305.0
20, 430982.0
21, 431125.0
22, 416181.0
23, 414685.0
24, 403161.0
25, 401588.0
26, 398253.0
27, 401853.0
28, 395102.0
29, 394170.0
30, 393830.0
31, 387247.0
32, 382406.0
33, 378938.0
34, 377997.0
35, 375895.0
36, 375574.0
37, 373468.0
38, 370344.0
39, 365809.0
40, 365148.0
41, 362317.0
42, 363625.0
43, 363465.0
44, 361651.0
45, 361579.0
46, 361907.0
47, 361028.0
48, 363126.0
49, 363126.0
50, 362397.0
51, 363583.0
52, 363483.0
53, 362419.0
54, 363271.0
55, 359108.0
56, 362318.0
57, 359067.0
58, 358075.0
59, 358555.0
60, 353786.0
61, 352238.0
62, 352698.0
63, 350120.0
64, 349452.0
65, 349291.0
66, 349291.0
67, 349961.0
68, 349047.0
69, 349001.0
70, 348686.0
71, 348146.0
72, 348998.0
73, 346328.0
74, 347011.0
75, 345696.0
76, 342250.0
77, 342264.0
78, 342088.0
79, 341818.0
80, 340930.0
81, 336537.0
82, 335996.0
83, 335866.0
84, 336661.0
85, 336661.0
86, 336661.0
87, 336207.0
88, 335227.0
89, 335227.0
90, 335317.0
91, 335404.0
92, 335034.0
93, 335326.0
94, 333880.0
95, 333808.0
96, 333202.0
97, 332187.0
98, 332187.0
99, 331887.0
100, 331887.0
101, 331781.0
102, 327281.0
103, 327246.0
104, 327106.0
105, 328659.0
106, 328481.0
107, 329448.0
108, 327426.0
109, 327426.0
110, 327178.0
111, 324079.0
112, 323697.0
113, 323137.0
114, 322979.0
115, 322979.0
116, 322979.0
117, 322904.0
118, 322943.0
119, 322943.0
120, 322721.0
121, 322895.0
122, 322895.0
123, 322270.0
124, 320919.0
125, 320871.0
126, 320871.0
127, 320837.0
128, 320837.0
129, 320862.0
130, 320686.0
131, 320489.0
132, 320489.0
133, 319982.0
134, 319982.0
135, 319982.0
136, 319982.0
137, 319910.0
138, 319814.0
139, 322672.0
140, 322672.0
141, 320825.0
142, 320825.0
143, 320825.0
144, 321033.0
145, 321389.0
146, 321389.0
147, 322199.0
148, 321866.0
149, 321866.0
150, 321866.0
151, 321866.0
152, 321866.0
153, 320744.0
154, 319091.0
155, 319091.0
156, 319005.0
157, 319005.0
158, 319039.0
159, 319039.0
160, 319039.0
161, 319049.0
162, 318695.0
163, 318695.0
164, 318564.0
165, 318292.0
166, 317045.0
167, 317045.0
168, 317045.0
169, 317045.0
170, 317045.0
171, 315125.0
172, 315097.0
173, 315097.0
174, 314685.0
175, 313155.0
176, 313155.0
177, 313055.0
178, 313055.0
179, 313055.0
180, 312951.0
181, 312947.0
182, 312671.0
183, 312452.0
184, 312452.0
185, 312452.0
186, 312210.0
187, 312098.0
188, 312038.0
189, 312038.0
190, 312038.0
191, 312038.0
192, 312038.0
193, 312038.0
194, 312038.0
195, 311443.0
196, 310993.0
197, 310993.0
198, 310993.0
199, 310993.0
200, 310993.0
201, 309571.0
202, 309577.0
203, 309595.0
204, 309595.0
205, 309595.0
206, 309595.0
207, 309564.0
208, 309564.0
209, 309564.0
210, 309385.0
211, 308812.0
212, 308812.0
213, 308592.0
214, 308592.0
215, 308592.0
216, 308584.0
217, 308584.0
218, 308584.0
219, 308584.0
220, 308584.0
221, 308584.0
222, 308584.0
223, 308563.0
224, 308563.0
225, 308563.0
226, 308563.0
227, 308563.0
228, 308563.0
229, 308248.0
230, 308248.0
231, 308248.0
232, 308248.0
233, 308248.0
234, 308248.0
235, 308172.0
236, 308172.0
237, 308172.0
238, 308172.0
239, 308052.0
240, 308192.0
241, 308558.0
242, 308558.0
243, 308558.0
244, 308560.0
245, 308560.0
246, 308560.0
247, 312718.0
248, 312718.0
249, 312589.0
250, 312486.0
251, 312486.0
252, 312396.0
253, 312396.0
254, 312264.0
255, 312086.0
256, 312050.0
257, 312050.0
258, 312050.0
259, 311947.0
260, 311947.0
261, 311923.0
262, 311923.0
263, 311923.0
264, 311447.0
265, 311447.0
266, 311447.0
267, 311447.0
268, 311447.0
269, 311635.0
270, 313219.0
271, 313491.0
272, 313491.0
273, 313730.0
274, 313644.0
275, 313644.0
276, 313644.0
277, 313180.0
278, 313180.0
279, 310036.0
280, 309288.0
281, 309288.0
282, 309168.0
283, 310089.0
284, 310089.0
285, 309940.0
286, 312831.0
287, 312831.0
288, 312831.0
289, 312831.0
290, 312061.0
291, 312066.0
292, 311788.0
293, 310470.0
294, 310470.0
295, 311270.0
296, 310920.0
297, 310864.0
298, 309068.0
299, 309068.0
300, 308913.0
301, 308913.0
302, 308913.0
303, 308913.0
304, 308787.0
305, 308787.0
306, 308787.0
307, 308713.0
308, 308713.0
309, 308731.0
310, 308703.0
311, 308703.0
312, 308415.0
313, 308415.0
314, 308415.0
315, 308415.0
316, 308049.0
317, 308049.0
318, 308031.0
319, 308031.0
320, 308031.0
321, 308031.0
322, 308031.0
323, 307326.0
324, 307326.0
325, 307232.0
326, 306808.0
327, 306733.0
328, 306733.0
329, 306733.0
330, 306853.0
331, 306553.0
332, 306553.0
333, 306553.0
334, 306476.0
335, 306376.0
336, 306376.0
337, 306376.0
338, 306376.0
339, 306376.0
340, 306238.0
341, 305843.0
342, 310023.0
343, 310023.0
344, 310023.0
345, 310023.0
346, 310023.0
347, 312235.0
348, 312235.0
349, 312235.0
350, 312235.0
351, 312235.0
352, 312229.0
353, 312229.0
354, 312175.0
355, 312175.0
356, 312083.0
357, 312201.0
358, 312201.0
359, 312360.0
360, 313293.0
361, 313293.0
